"SNO","BLK","BZI","PCS","GR1","GR2","GR3","GR4","GR5","LK1","LK2","LK3","LK4","LK5","L","B","TMAX","T1","T2","T3","T4","T5","IT1","IT2","IT3","IT4","SP1","SP2","SP3","SP4","SP5","LH1","LH2","LH3","LH4","LH5","LT1","LT2","LT3","LT4","LT5","LL1","LL2","LL3","LL4","LL5","WL1","WL2","WL3","WL4","WL5","IS1","STP1","STP2","STP3","STP4","STP5","ORG","YOTEIBI_KARI","YOTEIBI_HON","YOTEIBI_KYOSEI","JISSIBI_KARI","JISSIBI_HON","JISSIBI_KYOSEI","STATUS_KARI","STATUS_HON","STATUS_KYOSEI","CREATE_DATE","CREATE_SYAIN","UPDATE_DATE","UPDATE_SYAIN","JISSIJKN_KARI","JISSIJKN_HON","JISSIJKN_KYOSEI","CRES_FLG","CREP_FLG"
"757   ","U-3     ","DK2-C           ","P",3,0,0,0,0,1,1,1,1,1,8830.0,3774.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.3,841.6,826.5,826.5,825.0,250.0,250.0,250.0,250.0,0.0,12.0,12.0,12.0,12.0,0.0,8830.0,8830.0,8830.0,8830.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20190225,0,0,2,0,0,20190204,2010019,0,0,110011,0,0,0,1
"757   ","U-3     ","DK2-C           ","S",3,0,0,0,0,1,1,1,1,1,8830.0,3774.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.1,826.5,826.5,841.6,825.0,250.0,250.0,250.0,250.0,0.0,12.0,12.0,12.0,12.0,0.0,8830.0,8830.0,8830.0,8830.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20190302,0,0,2,0,0,20190204,2010019,0,0,91423,0,0,0,1
"757   ","U-3     ","USP-A           ","P",1,0,0,0,0,1,1,1,1,1,8830.0,2519.3,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.9,847.1,750.0,750.0,750.0,200.0,200.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,8830.0,8830.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20190301,0,0,2,0,0,20190204,2010019,0,0,154616,0,0,1,1
"757   ","U-3     ","USS-A           ","S",1,0,0,0,0,1,1,1,1,1,8830.0,2519.3,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.3,847.1,750.0,750.0,750.0,200.0,200.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,8830.0,8830.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20190302,0,0,2,0,0,20190204,2010019,0,0,84428,0,0,0,1
"757   ","U-5     ","DK1-A           ","P",3,0,0,0,0,1,1,1,1,1,16108.0,3698.5,14.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.5,825.0,825.0,825.0,825.0,250.0,250.0,250.0,250.0,0.0,12.0,12.0,12.0,12.0,0.0,16108.0,16108.0,16108.0,16108.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20190306,0,0,2,0,0,20190204,2010019,0,0,143304,0,0,0,1
"757   ","U-5     ","DK1-A           ","S",3,0,0,0,0,1,1,1,1,1,16108.0,3698.5,14.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,825.0,825.0,825.0,825.0,250.0,250.0,250.0,250.0,0.0,12.0,12.0,12.0,12.0,0.0,16108.0,16108.0,16108.0,16108.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20190315,0,0,2,0,0,20190204,2010019,0,0,133859,0,0,0,1
"757   ","U-5     ","DK1-K           ","C",3,0,0,0,0,1,1,1,1,1,16108.0,3698.0,15.5,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,825.0,819.0,825.0,819.0,250.0,0.0,250.0,0.0,250.0,12.0,0.0,12.0,0.0,12.0,16108.0,0.0,16108.0,0.0,16108.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20190306,0,0,2,0,0,20190204,2010019,0,0,151411,0,0,0,0
"757   ","U-5     ","DK2-B           ","P",3,0,0,0,0,1,1,1,1,1,16108.0,3778.3,14.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.3,826.5,826.5,826.5,826.5,250.0,250.0,250.0,250.0,250.0,12.0,12.0,12.0,12.0,12.0,16108.0,16108.0,16108.0,16108.0,16108.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20190306,0,0,2,0,0,20190204,2010019,0,0,132823,0,0,0,1
"757   ","U-5     ","DK2-B           ","S",3,0,0,0,0,1,1,1,1,1,16108.0,3778.3,14.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,826.5,826.5,826.5,826.5,250.0,250.0,250.0,250.0,250.0,12.0,12.0,12.0,12.0,12.0,16108.0,16108.0,16108.0,16108.0,16108.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20190315,0,0,2,0,0,20190204,2010019,0,0,113527,0,0,0,1
"757   ","U-5     ","DK2-C           ","P",3,0,0,0,0,1,1,1,1,1,16108.0,3767.1,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.3,841.6,826.5,826.5,825.0,250.0,250.0,250.0,250.0,0.0,12.0,12.0,12.0,12.0,0.0,16108.0,16108.0,16108.0,16108.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20190306,0,0,2,0,0,20190204,2010019,0,0,112702,0,0,0,1
"757   ","U-5     ","DK2-C           ","S",3,0,0,0,0,1,1,1,1,1,16108.0,3767.1,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.2,826.5,826.5,841.6,825.0,250.0,250.0,250.0,250.0,0.0,12.0,12.0,12.0,12.0,0.0,16108.0,16108.0,16108.0,16108.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20190315,0,0,2,0,0,20190204,2010019,0,0,103523,0,0,0,1
"757   ","U-5     ","USP-A           ","P",1,0,0,0,0,1,1,1,1,1,16108.0,2519.3,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.9,847.1,825.0,825.0,825.0,250.0,250.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,16108.0,16108.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20190308,0,0,2,0,0,20190204,2010019,0,0,150318,0,0,1,1
